UID        PID  PPID  C STIME TTY          TIME CMD
eucacon+ 17493 17431  0 18:43 ?        00:00:03 /usr/bin/python -tt /bin/eucaconsole -d -p /var/run/eucaconsole/eucaconsole.pid -l /var/log/eucaconsole_startup.log
root     18034     2  0 19:25 ?        00:00:00 [kworker/3:0]
root     18040     2  0 19:25 ?        00:00:00 [kworker/3:2]
root     18522 11769  0 19:26 pts/1    00:00:00 ps -ef
root     19373     1  0 18:11 ?        00:00:00 /usr/sbin/rsyslogd -n
root     20192     2  0 17:39 ?        00:00:00 [jbd2/dm-5-8]
root     20193     2  0 17:39 ?        00:00:00 [ext4-rsv-conver]
postfix  20210  2965  0 17:51 ?        00:00:00 pickup -l -t unix -u
root     20353 11765  0 17:52 pts/0    00:00:00 -bash
chrony   21277     1  0 17:53 ?        00:00:00 /usr/sbin/chronyd
root     21852     1  0 18:45 ?        00:00:00 eucalyptus-cloud --bind-addr=192.168.0.5
eucalyp+ 22858 21852 27 18:46 ?        00:11:03 eucalyptus-cloud --bind-addr=192.168.0.5
eucalyp+ 24141     1  0 18:46 ?        00:00:00 /usr/bin/postgres -D /var/lib/eucalyptus/db/data -h0.0.0.0 -p8777
eucalyp+ 24151 24141  0 18:46 ?        00:00:00 postgres: logger process   
eucalyp+ 24166 24141  0 18:46 ?        00:00:00 postgres: checkpointer process   
eucalyp+ 24167 24141  0 18:46 ?        00:00:00 postgres: writer process   
eucalyp+ 24168 24141  0 18:46 ?        00:00:00 postgres: wal writer process   
eucalyp+ 24169 24141  0 18:46 ?        00:00:00 postgres: autovacuum launcher process   
eucalyp+ 24170 24141  0 18:46 ?        00:00:01 postgres: stats collector process   
eucalyp+ 24560 24141  0 18:46 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46018) idle
eucalyp+ 24561 24141  0 18:46 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46020) idle
eucalyp+ 24562 24141  0 18:46 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46022) idle
eucalyp+ 24563 24141  0 18:46 ?        00:00:05 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46024) idle
eucalyp+ 24568 24141  0 18:46 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46026) idle
eucalyp+ 24573 24141  0 18:46 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46028) idle
eucalyp+ 24579 24141  0 18:46 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46030) idle
eucalyp+ 24620 24141  0 18:46 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46032) idle
eucalyp+ 24645 24141  0 18:46 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46034) idle
eucalyp+ 24646 24141  0 18:46 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46036) idle
eucalyp+ 24647 24141  0 18:46 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46038) idle
eucalyp+ 24648 24141  0 18:46 ?        00:00:04 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46040) idle
eucalyp+ 24649 24141  0 18:46 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46042) idle
eucalyp+ 24650 24141  0 18:46 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46044) idle
eucalyp+ 24651 24141  0 18:46 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46046) idle
eucalyp+ 24652 24141  0 18:46 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46048) idle
eucalyp+ 24746 24141  0 18:47 ?        00:00:00 postgres: eucalyptus database_events 127.0.0.1(46050) idle
eucalyp+ 25115 24141  0 18:47 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46054) idle
eucalyp+ 25146 24141  0 18:47 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46056) idle
eucalyp+ 25147 24141  0 18:47 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46058) idle
eucalyp+ 25148 24141  0 18:47 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46060) idle
eucalyp+ 25149 24141  0 18:47 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46062) idle
eucalyp+ 25150 24141  0 18:47 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46064) idle
eucalyp+ 25151 24141  0 18:47 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46066) idle
eucalyp+ 25152 24141  0 18:47 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46068) idle
eucalyp+ 25153 24141  0 18:47 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46070) idle
eucalyp+ 25154 24141  0 18:47 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46072) idle
eucalyp+ 25155 24141  0 18:47 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46074) idle
eucalyp+ 25156 24141  0 18:47 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46076) idle
eucalyp+ 25157 24141  0 18:47 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46078) idle
eucalyp+ 25158 24141  0 18:47 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46080) idle
eucalyp+ 25159 24141  0 18:47 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46082) idle
eucalyp+ 25161 24141  0 18:47 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46084) idle
eucalyp+ 25162 24141  0 18:47 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46086) idle
eucalyp+ 25166 24141  0 18:47 ?        00:00:03 postgres: eucalyptus eucalyptus_shared 127.0.0.1(46088) idle
root     25176     2  0 18:47 ?        00:00:00 [kworker/4:1]
eucalyp+ 25292 24141  0 18:47 ?        00:00:00 postgres: eucalyptus database_events 127.0.0.1(46098) idle
root     28940     2  0 18:48 ?        00:00:00 [kworker/3:3]
